index,name,k2,K1,rAC,rcat,kg(473K),kg(673K),kg(873K),pg(473K),pg(673K),pg(873K),reff(Tg=473K),reff(Tg=673K),reff(Tg=873K)
89,coords_1Kps_027_0306,1.278582e+04,1.403351e-01,1.628563e+03,1.628530e+03,2.181361e-01,3.097903e+03,5.876247e+05,1.000000e+00,1.000000e+00,1.000000e+00,1.628530e+03,1.628530e+03,1.628530e+03
90,coords_1Kps_027_0507,3.434073e+03,4.955570e-02,1.683282e+02,1.683279e+02,3.117084e+01,1.055652e+05,9.590047e+06,1.000000e+00,1.000000e+00,1.000000e+00,1.683279e+02,1.683279e+02,1.683279e+02
91,coords_1Kps_028_0002,1.231690e+04,1.934678e+00,8.228016e+03,8.227186e+03,1.195223e-04,1.625717e+01,1.068383e+04,3.496732e-01,1.000000e+00,1.000000e+00,2.876826e+03,8.227186e+03,8.227186e+03
92,coords_1Kps_028_0103,5.529759e+03,1.090486e+01,5.081726e+03,5.081410e+03,8.057066e+00,3.647271e+04,3.806302e+06,1.000000e+00,1.000000e+00,1.000000e+00,5.081410e+03,5.081410e+03,5.081410e+03
93,coords_1Kps_029_0001,1.908165e+04,7.875888e-02,1.444781e+03,1.444755e+03,2.472439e+01,8.081201e+04,7.139329e+06,1.000000e+00,1.000000e+00,1.000000e+00,1.444755e+03,1.444755e+03,1.444755e+03
94,coords_1Kps_029_0203,1.524178e+04,1.403351e-01,1.941385e+03,1.941339e+03,1.232984e+02,3.202918e+05,2.447795e+07,1.000000e+00,1.000000e+00,1.000000e+00,1.941339e+03,1.941339e+03,1.941339e+03
95,coords_1Kps_030_0205,4.374131e+05,6.349563e-01,1.739790e+05,1.736089e+05,1.269626e-09,4.385217e-03,1.663256e+01,4.570644e-06,9.999999e-01,1.000000e+00,7.935045e-01,1.736089e+05,1.736089e+05
96,coords_1Kps_030_0309,4.395988e+03,1.778673e+00,2.853549e+03,2.853449e+03,6.951271e+01,1.841155e+05,1.470114e+07,1.000000e+00,1.000000e+00,1.000000e+00,2.853449e+03,2.853449e+03,2.853449e+03
97,coords_1Kps_030_0407,5.668293e+03,5.413935e-01,2.042004e+03,2.041953e+03,2.978781e+01,9.191939e+04,7.879797e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.041953e+03,2.041953e+03,2.041953e+03
98,coords_1Kps_030_0608,5.581096e+05,3.219869e+00,4.297800e+05,4.275284e+05,1.646438e-09,5.490228e-03,2.022875e+01,5.927159e-06,1.000000e+00,1.000000e+00,2.534029e+00,4.275284e+05,4.275284e+05
99,coords_1Kps_031_0005,4.733362e+03,7.876163e-02,3.584016e+02,3.584000e+02,4.694122e+01,1.336371e+05,1.096035e+07,1.000000e+00,1.000000e+00,1.000000e+00,3.584000e+02,3.584000e+02,3.584000e+02
100,coords_1Kps_031_0102,5.567079e+05,1.174114e-01,6.058693e+04,6.054198e+04,3.443919e-09,1.080774e-02,3.884844e+01,1.239803e-05,1.000000e+00,1.000000e+00,7.506014e-01,6.054198e+04,6.054198e+04
