index,name,k2,K1,rAC,rcat,kg(473K),kg(673K),kg(873K),pg(473K),pg(673K),pg(873K),reff(Tg=473K),reff(Tg=673K),reff(Tg=873K),r1,r2,shaft_length,theta1,theta2,torsion
64,coords_1Kps_019_0205,70500.89,0.846512,33009.78,32996.43,6.284158,29687.99,3169733.0,1.0,1.0,1.0,32996.43,32996.43,32996.43,5.146356143406635,0.22005028546399208,4.351775207281967,143.14108184378676,6.369701454292411,26.354155291324336
65,coords_1Kps_019_0308,5129.0,18.57263,4876.559,4876.268,40.85272,126073.2,10748420.0,1.0,1.0,1.0,4876.268,4876.268,4876.268,5.124402388214595,-0.21790523576214404,4.505328431780972,134.01618250677151,0.44002372954241764,14.883296128758126
66,coords_1Kps_019_0609,4307.161,0.5165343,1505.308,1505.281,0.09868793,1587.805,323729.1,1.0,1.0,1.0,1505.281,1505.281,1505.281,5.575489844472575,0.050779296796796825,4.035718241323349,174.1519030903771,8.803985618962969,19.20961148952116
67,coords_1Kps_020_0003,1735.105,8.852362,1565.121,1565.091,0.9338691,8052.751,1183236.0,1.0,1.0,1.0,1565.091,1565.091,1565.091,5.354025155984477,0.10925721778168151,4.321992369987365,189.45240293061198,-6.63734183424539,7.63661370371208
68,coords_1Kps_020_0105,14164.02,15.16589,13319.63,13317.46,21.68977,73258.2,6649982.0,1.0,1.0,1.0,13317.46,13317.46,13317.46,5.190270875973413,-0.09794496629324057,4.330728769855024,171.5694936663222,-2.5654333363504804,8.638617697282514
69,coords_1Kps_020_0204,4196.267,0.9761881,2114.111,2114.056,3.008462,17972.93,2172509.0,1.0,1.0,1.0,2114.056,2114.056,2114.056,5.137558911501264,0.010054020387068263,4.723799990550935,182.59769191552044,0.3678049008762372,21.27693255382071
70,coords_1Kps_021_0001,37884.69,5.797873,32496.03,32483.1,0.2552502,3202.815,570696.9,1.0,1.0,1.0,32483.1,32483.1,32483.1,5.205236952582746,0.24263518850133003,4.653990661093337,174.48122508189942,1.212018571789784,1.7794227741077826
71,coords_1Kps_021_0305,6884.84,0.9206359,3367.8,3367.661,34.5646,101593.9,8540055.0,1.0,1.0,1.0,3367.661,3367.661,3367.661,5.269541762977983,0.04462836128413139,4.221237955831205,209.84011600095045,-8.9224553274248,19.117009099787115
72,coords_1Kps_022_0004,551.3816,0.06780609,36.32493,36.32491,2.508234,15750.28,1957521.0,1.0,1.0,1.0,36.32491,36.32491,36.32491,5.551024104381833,0.04695577889749236,4.477322029117965,179.46445016876268,-7.930874796874349,16.48538944148776
73,coords_1Kps_022_0109,329.5866,14.89961,309.6084,309.6072,13.86041,50206.93,4704432.0,1.0,1.0,1.0,309.6072,309.6072,309.6072,5.388759941898573,0.017476587689824186,4.4455605695093166,198.3809821454712,-5.957737016943852,5.497449167085596
74,coords_1Kps_022_0206,79713.31,1.052868,41665.87,41644.6,1.327194e-05,3.395851,3129.041,0.04665555,1.0,1.0,1942.952,41644.6,41644.6,5.156757618708642,-0.12108633218645748,3.9385809607210054,150.75977384840212,1.5181226791342084,24.05504931263738
75,coords_1Kps_022_0308,7458.887,13.48313,6962.422,6961.828,5.530938e-06,1.669774,1690.228,0.01971445,1.0,1.0,137.2486,6961.828,6961.828,5.459664094652313,0.24950232015816765,4.215249412084058,196.51801326926756,2.394534089407628,4.099445837632563
76,coords_1Kps_022_0507,4399.605,13.09765,4098.737,4098.531,68.81226,182192.4,14399790.0,1.0,1.0,1.0,4098.531,4098.531,4098.531,5.3329863908894115,0.012806591596910888,3.986469268679366,195.35236018398854,-8.645779859041838,3.0362764067693955
77,coords_1Kps_023_0001,13393.08,0.2103036,2403.793,2403.722,17.59884,67224.11,6469318.0,1.0,1.0,1.0,2403.722,2403.722,2403.722,5.361499912908454,0.037620732085507314,4.503020591364202,165.37504650956376,-5.1924106669586365,25.390872240240387
78,coords_1Kps_024_0003,39099.19,1.094586,20815.68,20810.37,28.68015,91553.5,7976958.0,1.0,1.0,1.0,20810.37,20810.37,20810.37,5.54431534393729,-0.255643730573496,4.326827892954605,208.35511288731092,-3.291063717680686,19.506058225686107
79,coords_1Kps_024_0102,47474.21,0.01434015,697.6904,697.6845,56.93786,156976.7,12702210.0,1.0,1.0,1.0,697.6845,697.6845,697.6845,5.202421580218109,0.01899093334301094,4.615929554805536,207.56344617914584,4.398340016113323,8.946918798429598
80,coords_1Kps_025_0001,3628.084,9.132997,3282.531,3282.399,0.5851276,5717.861,892870.4,1.0,1.0,1.0,3282.399,3282.399,3282.399,5.245953779708485,-0.02166014224896884,4.2962863271347524,192.6977329567161,10.981688189309537,1.93270931705075
81,coords_1Kps_025_0203,41956.96,0.2205584,7829.127,7828.376,30.76071,108742.2,9985652.0,1.0,1.0,1.0,7828.376,7828.376,7828.376,5.258462143553294,-0.07095109454337312,4.457121895396737,165.70439993829655,-12.831926398107939,16.178826571331832
82,coords_1Kps_025_0405,5659.994,1.424557,3379.304,3379.164,24.05002,79690.87,7070857.0,1.0,1.0,1.0,3379.164,3379.164,3379.164,5.328722277283033,0.05245343219941878,4.443300283265272,212.45131606009545,-2.8716571456449884,26.2648181867445
83,coords_1Kps_026_0001,22530.05,6.523588,19636.12,19631.4,29.66901,93708.8,8185053.0,1.0,1.0,1.0,19631.4,19631.4,19631.4,5.194171288579167,0.0310750341887851,4.508506509311732,162.2802152632858,0.004498169109425021,8.279557397843025
84,coords_1Kps_026_0205,6419.171,3.885668,5145.915,5145.59,37.69433,111144.4,9435085.0,1.0,1.0,1.0,5145.59,5145.59,5145.59,5.136216035013556,0.04858710188566606,4.700472689139892,197.25855921476878,-4.187703748251295,1.4689299464416181
85,coords_1Kps_026_0304,3507.219,0.1261474,406.7991,406.7971,54.23965,148088.4,11841890.0,1.0,1.0,1.0,406.7971,406.7971,406.7971,5.0570605565626945,0.03123353485930158,4.632627164116085,203.8263371261138,-5.68456589160256,14.657497330393166
