SMILES,Accumulation P. aeruginosa PAO1,Accumulation E. coli,ASA,ASA_H,a_acc,a_aro,a_base,a_don,a_hyd,a_nN,a_nO,b_rotN,h_logD,h_logP,h_logS,h_pKa,rings,SlogP,TPSA,h_pavgQ,Weight
O[C@@]12[C@@H](C)C[C@]3([C@@H](C[N+H3])c4c(C)cccc4[C@H]3CC1)C2,1157,1650,438.85056,438.85056,1,6,1,1,18,1,1,1,-0.20962688,-2.5346651,-0.39496434,9.6936312,4,2.3589201,47.869999,0.99797934,272.41199
O=C(N)c1c(Nc2nc(C(OC)(C)C)ccc2)cc(NCC[N+H3])nn1,1150,1155,580.36267,580.36267,5,12,1,3,13,7,2,8,-1.8746309,-4.9677505,0.17840809,9.0069818,2,0.56089997,142.69,0.99568903,346.41501
O=S1(=O)c2c(cccc2)CN(c2[n+H]c3c(c(NCC([N+H3])(C)C)c2)cccc3)CC1,1113,3794,628.84583,628.84583,2,16,4,0,21,4,2,4,0.2825892,-2.9520433,-1.3923525,6.3299341,4,2.1466,91.190002,1.2479281,412.55798
Clc1c(-c2n(C)ncc2Cl)cc(C(=O)N[C@H](C[N+H3])Cc2cc(F)ccc2)s1,1113,393,623.14728,623.14728,2,16,1,1,21,4,1,7,3.2670052,-0.20360766,-3.4317153,8.8188705,3,3.53667,74.559998,0.98896348,428.33899
FC(F)(F)c1cc(F)c(-c2c3c([C@H]([N+H3])CCC3)cnc2)cc1,1111,1278,460.42508,460.42508,1,12,1,0,20,2,0,2,2.2539084,-0.945463,-1.7090065,8.6235352,3,3.93277,40.529999,0.97881562,311.302
Clc1cc(NC(=O)c2c3n(nc2)C=CC=N3)c(N2CCC(C[N+H3])CC2)cc1,1110,926,602.36414,602.36414,3,11,1,1,17,6,1,5,0.1330767,-1.949613,-2.2126071,9.9749136,4,2.4337001,90.160004,0.99895465,385.879
O=C(N)c1c(Nc2nc(C)c(C)cc2)cc(NCC[N+H3])nn1,1080,2287,538.92389,538.92389,4,12,1,3,11,7,1,6,-1.9234968,-4.9564238,0.33914968,9.0404902,2,-0.01526,133.46001,1.0566226,302.362
O[C@@H]1[C@H](O)[C@@H](N)c2c([C@H]1[N+H3])cccc2,1062,1181,347.12109,347.12109,3,6,1,3,10,2,2,0,-2.3495805,-5.0160151,1.8990583,8.4814777,2,-1.1042,94.120003,1.758603,195.24199
Fc1cc2n(C)nc(-c3nc4c(C(=O)NC(CC[N+H3])(C)C)c[nH]c4nc3)c2cc1,1054,2315,639.9151,639.9151,5,18,1,3,19,7,1,6,-0.30931422,-2.6873181,-1.927927,9.7286596,4,2.1503,116.13,1.0053968,396.44998
[N+H3][C@H]1[C@H](C)[C@@H]2C(C)(C)[C@H](C1)C2,1050,762,306.64612,306.64612,0,0,1,0,10,1,0,0,-1.0361346,-2.8605602,0.89352959,10.098482,2,1.299,27.639999,0.9992035,154.27699
FC(F)(F)c1ccc(Nc2cc3c(cc2)C[C@@H]([N+H3])CC3)cc1,1046,1290,496.45358,496.45358,0,12,1,1,20,2,0,3,1.2426554,-0.89356935,-1.6155701,9.8138256,3,3.8596399,39.669998,0.99846715,307.33899
